#,Match,Event,"Hours Watched","Peak Viewers","Average CCV",Airtime,Views,"Unique Auth viewers",Date
1,"Post Game Show","Playoffs, Finals",69483,248099,208449,20m,23806,25971,"29.08, 19:10 - 19:30"
2,"FNC vs MAD","Playoffs, Finals",2426574,729308,570959,"4h 15m",3049392,186604,"29.08, 14:55 - 19:10"
3,"FNC vs RGE","Playoffs, Day 7",1006689,449696,335563,3h,1361914,93691,"28.08, 15:00 - 18:00"
4,"G2 vs FNC","Playoffs, Day 6",2699041,843491,588882,"4h 35m",3197941,220229,"22.08, 15:00 - 19:35"
5,"MAD vs RGE","Playoffs, Day 5",929801,384343,278940,"3h 20m",1429855,105978,"21.08, 15:00 - 18:20"
6,"FNC vs MSF","Playoffs, Day 4",1747342,455470,322586,"5h 25m",2183016,135276,"20.08, 15:55 - 21:20"
7,"FNC vs VIT","Playoffs, Day 3",1297918,425082,311500,"4h 10m",1821364,108409,"15.08, 15:00 - 19:10"
8,"G2 vs MAD","Playoffs, Day 2",1283500,445591,350045,"3h 40m",1968001,125860,"14.08, 15:00 - 18:40"
9,"MSF vs RGE","Playoffs, Day 1",1193808,346344,251328,"4h 45m",1569821,108428,"13.08, 16:00 - 20:45"
10,"G2 vs XL","Week 8, Day 3",320698,330527,240524,"1h 20m",338490,53170,"01.08, 19:00 - 20:20"
11,"MSF vs MAD","Week 8, Day 3",270221,272169,249435,"1h 5m",308291,53630,"01.08, 17:55 - 19:00"
12,"FNC vs S04","Week 8, Day 3",266549,264016,228471,"1h 10m",297172,52909,"01.08, 16:45 - 17:55"
13,"VIT vs Astralis","Week 8, Day 3",169613,210772,185032,55m,225200,37733,"01.08, 15:50 - 16:45"
14,"SK vs RGE","Week 8, Day 3",125692,159385,125692,1h,150116,30471,"01.08, 14:50 - 15:50"
15,"FNC vs MAD","Week 8, Day 2",265660,276689,245225,"1h 5m",294489,49805,"31.07, 19:15 - 20:20"
16,"G2 vs S04","Week 8, Day 2",282843,306529,261086,"1h 5m",272570,55184,"31.07, 18:10 - 19:15"
17,"VIT vs RGE","Week 8, Day 2",228673,251100,211083,"1h 5m",221159,43177,"31.07, 17:05 - 18:10"
18,"Astralis vs XL","Week 8, Day 2",179992,188555,166146,"1h 5m",182789,37608,"31.07, 16:00 - 17:05"
19,"MSF vs SK","Week 8, Day 2",139820,161764,119846,"1h 10m",226492,31499,"31.07, 14:50 - 16:00"
20,"FNC vs MSF","Week 8, Day 1",250886,267030,231587,"1h 5m",344659,47514,"30.07, 19:55 - 21:00"
21,"G2 vs MAD","Week 8, Day 1",281073,308187,259452,"1h 5m",364213,55901,"30.07, 18:50 - 19:55"
22,"XL vs RGE","Week 8, Day 1",216043,230689,199424,"1h 5m",259580,42611,"30.07, 17:45 - 18:50"
23,"Astralis vs SK","Week 8, Day 1",154389,187189,168424,55m,242203,32195,"30.07, 16:50 - 17:45"
24,"VIT vs S04","Week 8, Day 1",133406,164895,133406,1h,230566,29216,"30.07, 15:50 - 16:50"
25,"G2 vs MSF","Week 7, Day 2",268975,290542,248285,"1h 5m",253837,51574,"24.07, 18:50 - 19:55"
26,"FNC vs SK","Week 7, Day 2",239339,258943,220928,"1h 5m",229215,45792,"24.07, 17:45 - 18:50"
27,"MAD vs RGE","Week 7, Day 2",213777,229273,197333,"1h 5m",208393,44116,"24.07, 16:40 - 17:45"
28,"VIT vs XL","Week 7, Day 2",131481,165192,143434,55m,145634,34356,"24.07, 15:45 - 16:40"
29,"Astralis vs S04","Week 7, Day 2",85719,128078,102863,50m,164908,26652,"24.07, 14:55 - 15:45"
30,"FNC vs RGE","Week 7, Day 1",220305,257269,220305,1h,285787,41583,"23.07, 20:10 - 21:10"
31,"G2 vs SK","Week 7, Day 1",280343,270677,240294,"1h 10m",330478,50129,"23.07, 19:00 - 20:10"
32,"Astralis vs MAD","Week 7, Day 1",246043,233715,196834,"1h 15m",285483,46216,"23.07, 17:45 - 19:00"
33,"VIT vs MSF","Week 7, Day 1",162466,189169,162466,1h,241286,37649,"23.07, 16:45 - 17:45"
34,"S04 vs XL","Week 7, Day 1",98334,143440,118001,50m,131328,31669,"23.07, 15:55 - 16:45"
35,"G2 vs FNC","Week 6, Day 2",434883,377616,289922,"1h 30m",440540,64583,"17.07, 18:40 - 20:10"
36,"VIT vs MAD","Week 6, Day 2",169594,222193,203513,50m,133672,37334,"17.07, 17:50 - 18:40"
37,"Astralis vs RGE","Week 6, Day 2",191102,218582,191102,1h,213221,39210,"17.07, 16:50 - 17:50"
38,"MSF vs S04","Week 6, Day 2",141858,173624,154754,55m,173307,37444,"17.07, 15:55 - 16:50"
39,"XL vs SK","Week 6, Day 2",121516,139478,112169,"1h 5m",171022,34489,"17.07, 14:50 - 15:55"
40,"G2 vs VIT","Week 6, Day 1",291639,306035,249976,"1h 10m",347707,47524,"16.07, 19:45 - 20:55"
41,"FNC vs Astralis","Week 6, Day 1",192615,258049,231138,50m,206528,39256,"16.07, 18:55 - 19:45"
42,"S04 vs RGE","Week 6, Day 1",218430,231835,201628,"1h 5m",284359,40560,"16.07, 17:50 - 18:55"
43,"MAD vs SK","Week 6, Day 1",146362,194694,175634,50m,219303,33062,"16.07, 17:00 - 17:50"
44,"MSF vs XL","Week 6, Day 1",166719,192394,153894,"1h 5m",235371,36848,"16.07, 15:55 - 17:00"
45,"G2 vs RGE","Week 5, Day 2",267336,304925,246772,"1h 5m",289864,52364,"10.07, 19:05 - 20:10"
46,"FNC vs XL","Week 5, Day 2",219230,270837,239160,55m,276508,50568,"10.07, 18:10 - 19:05"
47,"S04 vs MAD","Week 5, Day 2",257471,223641,193103,"1h 20m",257697,49940,"10.07, 16:50 - 18:10"
48,"Astralis vs MSF","Week 5, Day 2",152638,190059,166514,55m,210105,39000,"10.07, 15:55 - 16:50"
49,"VIT vs SK","Week 5, Day 2",128793,153025,118886,"1h 5m",196407,35593,"10.07, 14:50 - 15:55"
50,"G2 vs Astralis","Week 5, Day 1",276841,280025,221473,"1h 15m",321821,49285,"09.07, 20:00 - 21:15"
51,"FNC vs VIT","Week 5, Day 1",200985,242234,219256,55m,281891,42789,"09.07, 19:05 - 20:00"
52,"MSF vs RGE","Week 5, Day 1",235274,242392,217176,"1h 5m",304356,44062,"09.07, 18:00 - 19:05"
53,"MAD vs XL","Week 5, Day 1",205714,206607,176326,"1h 10m",286994,40827,"09.07, 16:50 - 18:00"
54,"S04 vs SK","Week 5, Day 1",124700,151869,124700,1h,225102,29688,"09.07, 15:50 - 16:50"
55,"MAD vs RGE","Week 4, Day 2",206817,208264,190908,"1h 5m",225015,41378,"03.07, 18:55 - 20:00"
56,"G2 vs MSF","Week 4, Day 2",232154,273679,232154,1h,281096,49475,"03.07, 17:55 - 18:55"
57,"FNC vs SK","Week 4, Day 2",183552,204584,183552,1h,239132,39771,"03.07, 16:55 - 17:55"
58,"Astralis vs S04","Week 4, Day 2",143432,172981,156471,55m,205565,37058,"03.07, 16:00 - 16:55"
59,"VIT vs XL","Week 4, Day 2",132259,152535,113365,"1h 10m",209176,34090,"03.07, 14:50 - 16:00"
60,"FNC vs S04","Week 4, Day 1",202737,237510,187142,"1h 5m",200252,39626,"02.07, 19:25 - 20:30"
61,"G2 vs XL","Week 4, Day 1",198705,229833,198705,1h,240138,37560,"02.07, 18:25 - 19:25"
62,"MSF vs MAD","Week 4, Day 1",148634,196484,178361,50m,188955,30983,"02.07, 17:35 - 18:25"
63,"SK vs RGE","Week 4, Day 1",144836,174223,158003,55m,160238,30066,"02.07, 16:40 - 17:35"
64,"VIT vs Astralis","Week 4, Day 1",99912,151570,119894,50m,183181,24899,"02.07, 15:50 - 16:40"
65,"G2 vs FNC","Week 3, Day 2",285507,337614,285507,1h,335044,70207,"26.06, 18:50 - 19:50"
66,"VIT vs MAD","Week 3, Day 2",233633,267650,233633,1h,310485,59308,"26.06, 17:50 - 18:50"
67,"Astralis vs RGE","Week 3, Day 2",210196,219209,194027,"1h 5m",271958,54523,"26.06, 16:45 - 17:50"
68,"MSF vs S04","Week 3, Day 2",146659,190369,175991,50m,152118,49045,"26.06, 15:55 - 16:45"
69,"XL vs SK","Week 3, Day 2",135010,153782,124625,"1h 5m",240280,43016,"26.06, 14:50 - 15:55"
70,"G2 vs VIT","Week 3, Day 1",283600,293030,226880,"1h 15m",348524,70562,"25.06, 19:45 - 21:00"
71,"FNC vs Astralis","Week 3, Day 1",232785,267178,232785,1h,394936,61434,"25.06, 18:45 - 19:45"
72,"S04 vs RGE","Week 3, Day 1",172826,227085,207391,50m,250057,54670,"25.06, 17:55 - 18:45"
73,"MAD vs SK","Week 3, Day 1",206683,214374,190784,"1h 5m",327546,55080,"25.06, 16:50 - 17:55"
74,"MSF vs XL","Week 3, Day 1",143945,177017,143945,1h,285068,41672,"25.06, 15:50 - 16:50"
75,"G2 vs RGE","Week 2, Day 2",323039,343909,298190,"1h 5m",324002,49439,"19.06, 18:55 - 20:00"
76,"FNC vs XL","Week 2, Day 2",313586,292791,250869,"1h 15m",375842,49070,"19.06, 17:40 - 18:55"
77,"S04 vs MAD","Week 2, Day 2",188027,229350,205120,55m,174218,35838,"19.06, 16:45 - 17:40"
78,"Astralis vs MSF","Week 2, Day 2",169290,187245,169290,1h,244670,32611,"19.06, 15:45 - 16:45"
79,"VIT vs SK","Week 2, Day 2",117432,159434,117432,1h,219600,26624,"19.06, 14:45 - 15:45"
80,"G2 vs Astralis","Week 2, Day 1",295213,312191,253040,"1h 10m",388417,46742,"18.06, 20:00 - 21:10"
81,"FNC vs VIT","Week 2, Day 1",278106,302146,278106,1h,313865,45717,"18.06, 19:00 - 20:00"
82,"MSF vs RGE","Week 2, Day 1",240414,291210,262270,55m,240677,43574,"18.06, 18:05 - 19:00"
83,"MAD vs XL","Week 2, Day 1",234295,241743,216272,"1h 5m",312398,37642,"18.06, 17:00 - 18:05"
84,"S04 vs SK","Week 2, Day 1",187367,197764,160600,"1h 10m",308709,31870,"18.06, 15:50 - 17:00"
85,"FNC vs RGE","Week 1, Day 3",334905,362102,309143,"1h 5m",375396,58152,"13.06, 18:45 - 19:50"
86,"G2 vs SK","Week 1, Day 3",312667,357410,312667,1h,406033,62301,"13.06, 17:45 - 18:45"
87,"Astralis vs MAD","Week 1, Day 3",240388,284157,262241,55m,236265,52608,"13.06, 16:50 - 17:45"
88,"VIT vs MSF","Week 1, Day 3",225817,273916,246346,55m,301763,50795,"13.06, 15:55 - 16:50"
89,"S04 vs XL","Week 1, Day 3",177724,219460,177724,1h,322425,47238,"13.06, 14:55 - 15:55"
90,"FNC vs MAD","Week 1, Day 2",363211,327605,256384,"1h 25m",348210,59213,"12.06, 18:40 - 20:05"
91,"G2 vs S04","Week 1, Day 2",304770,382377,332476,55m,388793,65120,"12.06, 17:45 - 18:40"
92,"VIT vs RGE","Week 1, Day 2",279921,312970,279921,1h,291576,58481,"12.06, 16:45 - 17:45"
93,"MSF vs SK","Week 1, Day 2",225977,258273,225977,1h,244976,53370,"12.06, 15:45 - 16:45"
94,"Astralis vs XL","Week 1, Day 2",126394,196518,168525,45m,218092,40508,"12.06, 15:00 - 15:45"
95,"FNC vs MSF","Week 1, Day 1",379846,368939,303877,"1h 15m",452308,59674,"11.06, 19:45 - 21:00"
96,"VIT vs S04","Week 1, Day 1",245314,313757,294377,50m,327626,51437,"11.06, 18:55 - 19:45"
97,"XL vs RGE","Week 1, Day 1",219406,304415,292541,45m,253882,53004,"11.06, 18:10 - 18:55"
98,"Astralis vs SK","Week 1, Day 1",343838,316847,294718,"1h 10m",407312,70006,"11.06, 17:00 - 18:10"
99,"G2 vs MAD","Week 1, Day 1",333097,391558,333097,1h,511807,80076,"11.06, 16:00 - 17:00"
